Person_ID,RD_No,Crash_Date,Crash_Location,Victim,Longitude,Latitude,Location
P154084,JC318771,06/23/2019 06:05:00 PM,2255 W HARRISON ST,PASSENGER,-87.6835,41.873822,POINT (-87.6835 41.873822)
P267303,JE387474,09/26/2021 12:14:00 AM,4998 W JACKSON BLVD,PASSENGER,-87.74918825,41.87684233,POINT (-87.74918825 41.87684233)
O918558,JD297718,07/14/2020 10:40:00 PM,751 N KEDZIE AVE,MOTORCYCLIST,-87.7064,41.895237,POINT (-87.7064 41.895237)
,JD291125,07/09/2020 03:45:00 AM,4047 W CHICAGO AVE,DRIVER,-87.72797,41.895223,POINT (-87.72797 41.895223)
P137497,JC196251,03/23/2019 03:23:00 AM,1401 E 95TH ST,DRIVER,-87.5908,41.722151,POINT (-87.5908 41.722151)
O1219810,JE432621,11/03/2021 01:31:00 PM,5957 W TOUHY AVE,DRIVER,-87.77642769,42.01186629,POINT (-87.77642769 42.01186629)
O1021279,JE106315,01/07/2021 06:44:00 PM,7900 S LAFAYETTE AVE,PEDESTRIAN,-87.62597,41.750891,POINT (-87.62597 41.750891)
O1162628,JE337607,08/14/2021 09:33:00 PM,3375 W HARRISON ST,PEDESTRIAN,-87.71071584,41.87351931,POINT (-87.71071584 41.87351931)
O1082534,JE209489,04/25/2021 08:30:00 AM,6300 N CENTRAL AVE,DRIVER,-87.76433185,41.99622779,POINT (-87.76433185 41.99622779)
O946888,JD347219,08/27/2020 03:20:00 PM,6900 S DAMEN AVE,PEDESTRIAN,-87.67377,41.768393,POINT (-87.67377 41.768393)
P248660,JE250622,06/02/2021 12:25:00 AM,200 S LAKE SHORE DR,PASSENGER,-87.61737571,41.87958569,POINT (-87.61737571 41.87958569)
O785779,JC517032,11/19/2019 09:14:00 PM,2300 W OGDEN AVE,DRIVER,-87.68381,41.86666,POINT (-87.68381 41.86666)
O979822,JD404773,10/19/2020 09:10:00 PM,1625 W 87TH ST,DRIVER,-87.66406,41.735667,POINT (-87.66406 41.735667)
O981641,JD407909,10/22/2020 08:05:00 AM,699 S LAKE SHORE DR NB,MOTORCYCLIST,-87.61694,41.873324,POINT (-87.61694 41.873324)
O564489,JC118579,01/16/2019 05:17:00 AM,5400 S LONG AVE,DRIVER,-87.75761678,41.7945227,POINT (-87.75761678 41.7945227)
O1064474,JE179204,03/25/2021 10:41:00 AM,5900 S CICERO AVE,DRIVER,-87.74149,41.785643,POINT (-87.74149 41.785643)
O832962,JD135282,01/31/2020 03:12:00 PM,6800 S KANST DR,DRIVER,-87.69531,41.770313,POINT (-87.69531 41.770313)
P194323,JD164840,02/25/2020 06:45:00 PM,1020 E 95TH ST,PASSENGER,-87.5988,41.722249,POINT (-87.5988 41.722249)
,XMP2100039581,06/27/2021 04:55:00 PM,REPORTED BY METRA POLICE 1431 W 107TH ST,DRIVER,-87.65831496,41.69944718,POINT (-87.65831496 41.69944718)
